Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Nativeness,Abundance,NPS Tags,References,Observations,Vouchers,T&E,State Status,GRank,SRank
REDW,Redwood National Park,Mammal,1,Rodentia,Muridae,91762,180366.0,Active,Mus musculus,House Mouse,,Accepted,No,Approved,Present,Non-native,Unknown,,13.0,,,,,G5,CA: SNA
REDW,Redwood National Park,Mammal,1,Rodentia,Muridae,91759,180363.0,Active,Rattus norvegicus,Norway Rat,,Accepted,No,Approved,Present,Non-native,Unknown,,7.0,,,,,G5,CA: SNA
REDW,Redwood National Park,Mammal,1,Rodentia,Muridae,91758,180362.0,Active,Rattus rattus,Black Rat,,Accepted,No,Approved,Present,Non-native,Unknown,,8.0,,,,,G5,
REDW,Redwood National Park,Mammal,1,Rodentia,Sciuridae,89700,180169.0,Active,Glaucomys sabrinus,Northern Flying Squirrel,,Accepted,No,Approved,Present,Native,Common,Breeder,31.0,,,,,G5,
REDW,Redwood National Park,Mammal,1,Rodentia,Sciuridae,89708,180176.0,Active,Sciurus griseus,Western Gray Squirrel,,Accepted,No,Approved,Present,Native,Uncommon,Breeder,20.0,,1.0,RT,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Sciuridae,89677,180148.0,Active,Spermophilus beecheyi,California Ground Squirrel,"Citellus beecheyi, Otospermophilus beecheyi",Accepted,No,Approved,Present,Native,Common,Breeder,19.0,,,,,,
REDW,Redwood National Park,Mammal,1,Rodentia,Sciuridae,89684,180154.0,Active,Spermophilus lateralis,Golden-Mantled Ground Squirrel,Citellus lateralis,Accepted,No,Approved,Probably Present,Native,,,7.0,,,,,,
REDW,Redwood National Park,Mammal,1,Rodentia,Sciuridae,90663,180203.0,Active,Tamias senex,Allen's Chipmunk,Tamias senex pacifica,Accepted,No,Approved,Present,Native,Unknown,Breeder,6.0,,3.0,,,,
REDW,Redwood National Park,Mammal,1,Rodentia,Sciuridae,90664,180204.0,Active,Tamias siskiyou,Siskiyou Chipmunk,,Accepted,No,Approved,Present,Native,Unknown,Breeder,4.0,,,,,,
REDW,Redwood National Park,Mammal,1,Rodentia,Sciuridae,90665,180205.0,Active,Tamias sonomae,Sonoma Chipmunk,Eutamias sonomae,Accepted,No,Approved,Probably Present,Native,,,2.0,,,,,,
REDW,Redwood National Park,Mammal,1,Rodentia,Sciuridae,90668,180208.0,Active,Tamias townsendii,Townsend's Chipmunk,"Eutamias townsendii, Eutamias townsendi",Accepted,No,Approved,Probably Present,Native,,,24.0,,1.0,,,,
REDW,Redwood National Park,Mammal,1,Rodentia,Sciuridae,89698,180167.0,Active,Tamiasciurus douglasii,Douglas' Squirrel,,Accepted,No,Approved,Present,Native,Common,Breeder,28.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Bird,2,Accipitriformes,Accipitridae,79517,175309.0,Active,Accipiter cooperii,Cooper's Hawk,,Accepted,No,Approved,Present,Native,Uncommon,Breeder,50.0,,,SC,CA: WL,G5,CA: S4
REDW,Redwood National Park,Bird,2,Accipitriformes,Accipitridae,79508,175300.0,Active,Accipiter gentilis,Northern Goshawk,,Accepted,No,Approved,Present,Native,Occasional,Resident,16.0,,,RT,"CA: S,SSC",,
REDW,Redwood National Park,Bird,2,Accipitriformes,Accipitridae,79512,175304.0,Active,Accipiter striatus,Sharp-shinned Hawk,,Accepted,No,Approved,Present,Native,Uncommon,Resident,47.0,,1.0,SC,CA: WL,G5,CA: S4
REDW,Redwood National Park,Bird,2,Accipitriformes,Accipitridae,80429,175407.0,Active,Aquila chrysaetos,Golden Eagle,,Accepted,No,Approved,Present,Native,Uncommon,Migratory,31.0,,,SC,"CA: FP,S,WL",G5,CA: S3
REDW,Redwood National Park,Bird,2,Accipitriformes,Accipitridae,79563,175350.0,Active,Buteo jamaicensis,Red-tailed Hawk,,Accepted,No,Approved,Present,Native,Abundant,Breeder,66.0,,2.0,50,,G5,CA: SNR
REDW,Redwood National Park,Bird,2,Accipitriformes,Accipitridae,80391,175373.0,Active,Buteo lagopus,Rough-legged Hawk,,Accepted,No,Approved,Present,Native,Rare,Resident,26.0,,,SC,,G5,CA: SNRN
